,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
0,48.848352,23.446609,Львівська,Стрийський,Славська,селищна територіальна громада,селище міського типу,Славське,вул. Архангельського 5,так,Міська/селищна/сільська рада,f7b38bf4,Підзарядка гаджетів,ПН на карту
1,50.2454291264,28.7015977984,Житомирська,Житомирський,Житомирська,міська територіальна громада,місто,Житомир,площа Польова 8,так,Інші заклади/громадські місця,cf8c6944,Підзарядка гаджетів,ПН на карту
2,50.115962438,27.5042971566,Хмельницька,Шепетівський,Полонська,міська територіальна громада,місто,Полонне,вул. Гоголя 12,так,Інші заклади/громадські місця,e9f81949,Підзарядка гаджетів,ПН на карту
3,50.273191,28.655206,Житомирська,Житомирський,Житомирська,міська територіальна громада,місто,Житомир,пров Кавалерійський 13,так,Інші заклади/громадські місця,0568c33a,Підзарядка гаджетів,ПН на карту
4,49.149742,23.875319,Львівська,Стрийський,Моршинська,міська територіальна громада,місто,Моршин,вул. Привокзальна 47,так,Міська/селищна/сільська рада,47ecc4ab,Підзарядка гаджетів,ПН на карту
5,50.251828,28.674671,Житомирська,Житомирський,Житомирська,міська територіальна громада,місто,Житомир,вул. Святослава Ріхтера 12/5,так,Інші заклади/громадські місця,c4bfa375,Підзарядка гаджетів,ПН на карту
6,50.2537971435,28.6655668917,Житомирська,Житомирський,Житомирська,міська територіальна громада,місто,Житомир,майдан ім. С.П. Корольова 4/2,так,Міська/селищна/сільська рада,a8f4e56f,Підзарядка гаджетів,ПН на карту
7,48.2155783765,29.3649464308,Вінницька,Гайсинський,Чечельницька,селищна територіальна громада,селище міського типу,Чечельник,вул. Героїв Майдану 40,так,Інші заклади/громадські місця,d86dbf52,Підзарядка гаджетів,ПН на карту
8,50.39608,25.757607,Рівненська,Дубенський,Дубенська,міська територіальна громада,місто,Дубно,вул. Грушевського 171,так,Міська/селищна/сільська рада,c07b54e7,Підзарядка гаджетів,ПН на карту
9,48.567309,31.543288,Кіровоградська,Новоукраїнський,Злинська,сільська територіальна громада,село,Розсохуватка,вул.  Центральна 4,так,Міська/селищна/сільська рада,02a3b590,Підзарядка гаджетів,ПН на карту
10,50.1236649032,27.5105303053,Хмельницька,Шепетівський,Полонська,міська територіальна громада,місто,Полонне,вул. Поліська 41а,так,Інші заклади/громадські місця,eb0f4c72,Підзарядка гаджетів,ПН на карту
11,49.728746,24.886853,Львівська,Золочівський,Поморянська,сільська територіальна громада,село,Ремезівці,вул. Золочівська,так,Міська/селищна/сільська рада,10ace92d,Підзарядка гаджетів,ПН на карту
12,49.588674,33.366288,Полтавська,Кременчуцький,Семенівська,селищна територіальна громада,село,Заїчинці,вул. Шкільна 7а,так,Міська/селищна/сільська рада,63040b92,Підзарядка гаджетів,ПН на карту
13,50.600534,28.44871,Житомирська,Житомирський,Хорошівська,селищна територіальна громада,селище міського типу,Хорошів,вул. Соборна 7,так,Інші заклади/громадські місця,492ba2fb,Підзарядка гаджетів,ПН на карту
14,49.529167079,23.96594659,Львівська,Стрийський,Миколаївська,міська територіальна громада,місто,Миколаїв,вул. Федьковича 1А,так,Міська/селищна/сільська рада,a92a0fc8,Підзарядка гаджетів,ПН на карту
15,49.960743,25.04138,Львівська,Золочівський,Заболотцівська,сільська територіальна громада,село,Ясенів,вул. Бродівська 1,так,Міська/селищна/сільська рада,2d619acb,Підзарядка гаджетів,ПН на карту
16,50.610892,25.517311,Рівненська,Дубенський,Ярославицька,сільська територіальна громада,село,Новоукраїнка,вул. Молодіжна1,так,Міська/селищна/сільська рада,c26b4bc6,Підзарядка гаджетів,ПН на карту
17,48.568127,24.701568,Івано-Франківська,Надвірнянський,Надвірнянська,міська територіальна громада,село,Красна,вул. Шевченка 139,так,Міська/селищна/сільська рада,2ab2f17d,Підзарядка гаджетів,ПН на карту
18,49.819773,24.202822,Львівська,Львівський,Підберізцівська,сільська територіальна громада,село,Підгірне,вул. Наукова 1,так,Міська/селищна/сільська рада,b730f749,Підзарядка гаджетів,ПН на карту
19,51.382575,26.382223,Рівненська,Вараський,Вараська,сільська територіальна громада,село,Великі Цепцевичі,вул. Л Українки 112 а,так,Міська/селищна/сільська рада,929ab41e,Підзарядка гаджетів,ПН на карту
20,50.555096,30.321819,Київська,Бучанський,Гостомелська,селищна територіальна громада,село,Горенка,вул. І Франка 125 А,так,Міська/селищна/сільська рада,cb46a32e,Підзарядка гаджетів,ПН на карту
21,50.239574,24.141232,Львівська,Червоноградський,Великомостівська,міська територіальна громада,місто,Мости,вул. Базарна 3,так,Міська/селищна/сільська рада,7ae6d689,Підзарядка гаджетів,ПН на карту
22,48.994253,33.355524,Полтавська,Кременчуцький,Кам'янопотоківська,сільська територіальна громада,село,Білецьківка,вул. Центральна 231,так,Міська/селищна/сільська рада,a5cc9c58,Підзарядка гаджетів,ПН на карту
23,50.9896794088,26.757466782,Рівненська,Рівненський,Березнівська,міська територіальна громада,місто,Березне,вул. Хмельницького Б 20,так,Школа/дитячий садочок,8c5c49a0,Підзарядка гаджетів,ПН на карту
24,47.815406,31.887357,Кіровоградська,Кропивницький,Кетрисанівська,сільська територіальна громада,село,Буховецьке,вул. Центральна 30,так,Старостат,e9dff2a6,Підзарядка гаджетів,ПН на карту
25,50.565485,27.987567,Житомирська,Новоград-Волинський,Брониківська,сільська територіальна громада,село,с.Поліянівка,вул. Шевченка 33,так,Старостат,9d391d13,Підзарядка гаджетів,ПН на карту
26,50.04541,28.810612,Житомирська,Бердичівський,Червоненська,селищна територіальна громада,село,Глинівці,площа Миру 1,так,Старостат,5482212d,Підзарядка гаджетів,ПН на карту
27,48.675175,32.185994,Кіровоградська,Кропивницький,Великосеверинівська,сільська територіальна громада,село,Оситняжка,вул. Центральна 44,так,Старостат,7c4b61b3,Підзарядка гаджетів,ПН на карту
28,50.477372,28.801413,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,село,с.Бежів,вул. Шевченка 45,так,Старостат,397dcda4,Підзарядка гаджетів,ПН на карту
29,50.106009,31.677624,Київська,Бориспільський,Ташанська,сільська територіальна громада,село,Помоклі,вул. Покровська 45,так,Старостат,08b69199,Підзарядка гаджетів,ПН на карту
30,50.014355,31.610352,Київська,Бориспільський,Циблівська,сільська територіальна громада,село,Лецьки,вул. Мостового 1,так,Старостат,296b7472,Підзарядка гаджетів,ПН на карту
31,49.907538,31.652884,Київська,Бориспільський,Циблівська,сільська територіальна громада,село,Хоцьки,вул. Київський Шлях 47,так,Старостат,967a10c1,Підзарядка гаджетів,ПН на карту
32,49.96679,31.715401,Київська,Бориспільський,Циблівська,сільська територіальна громада,село,Пологи-Яненки,вул. Миру 58,так,Старостат,76b6f39f,Підзарядка гаджетів,ПН на карту
33,48.1082630867,23.3207028263,Закарпатська,Хустський,Вишківська,селищна територіальна громада,селище міського типу,Велятино,вул. Миру 69,так,Старостат,b5234248,Підзарядка гаджетів,ПН на карту
34,50.025837,34.572096,Полтавська,Полтавський,Опішнянська,селищна територіальна громада,село,Батьки,вул. Молодіжна 1,так,Старостат,5294c565,Підзарядка гаджетів,ПН на карту
35,50.806691,28.053942,Житомирська,Новоград-Волинський,Барашівська,сільська територіальна громада,селище міського типу,Яблунець,вул. Героїв України 117,так,Старостат,f63ea028,Підзарядка гаджетів,ПН на карту
36,48.424979,30.123961,Кіровоградська,Голованівський,Благовіщенська,міська територіальна громада,село,с. Кам’яна Криниця,вул.  Центральна 133а,так,Старостат,7bea27e5,Підзарядка гаджетів,ПН на карту
37,49.647875,31.469165,Черкаська,Черкаський,Канівська,міська територіальна громада,село,Кононча,вул. Садова 139,так,Старостат,35c73bc2,Підзарядка гаджетів,ПН на карту
38,49.45029934,31.95670575,Черкаська,Черкаський,Руськополянська,сільська територіальна громада,село,Геронимівка,вул. Мічуріна 1,так,Старостат,655baf75,Підзарядка гаджетів,ПН на карту
39,48.408294,23.270318,Закарпатська,Хустський,Довжанська,сільська територіальна громада,село,Бронька,село Бронька 152,так,Старостат,cc93068c,Підзарядка гаджетів,ПН на карту
40,49.350932,31.874996,Черкаська,Черкаський,Руськополянська,сільська територіальна громада,село,Дубіївка,вул. 1 Травня 1,так,Старостат,ae80efd1,Підзарядка гаджетів,ПН на карту
41,49.261577,31.700756,Черкаська,Черкаський,Балаклеївська,сільська територіальна громада,село,Мале Старосілля,вул. Центральна 38а,так,Інші заклади/громадські місця,2c6b1f5a,Підзарядка гаджетів,ПН на карту
42,50.417195,29.028454,Житомирська,Житомирський,Старосілецька,сільська територіальна громада,село,Минійки,вул. Шевченка 1б,так,Старостат,922dd2f1,Підзарядка гаджетів,ПН на карту
43,50.435625,29.028626,Житомирська,Житомирський,Старосілецька,сільська територіальна громада,село,Садове,вул. Митькіна 22а,так,Старостат,609f7631,Підзарядка гаджетів,ПН на карту
44,49.946145,28.925932,Житомирська,Бердичівський,Червоненська,селищна територіальна громада,село,Крилівка,вул. Гагаріна 2а,так,Старостат,af7167dd,Підзарядка гаджетів,ПН на карту
45,50.026599,28.837252,Житомирська,Бердичівський,Червоненська,селищна територіальна громада,село,Великі Моківці,вул. Молодіжна 2б,так,Старостат,3244b13b,Підзарядка гаджетів,ПН на карту
46,50.442609,29.460298,Житомирська,Житомирський,Радомишльська,міська територіальна громада,село,Раковичі,вул. Центральна 36А,так,Старостат,d147942b,Підзарядка гаджетів,ПН на карту
47,49.19700101,34.60880609,Полтавська,Полтавський,Нехворощанська,сільська територіальна громада,село,Соколова Балка,вул. Перемоги 37 а,так,Старостат,d29a4e84,Підзарядка гаджетів,ПН на карту
48,48.483399,31.94602,Кіровоградська,Кропивницький,Соколівська,сільська територіальна громада,село,Миколаївка,вул.  Майстерюка 56а,так,Старостат,bbf8dfd4,Підзарядка гаджетів,ПН на карту
49,49.981449,34.606169,Полтавська,Полтавський,Опішнянська,селищна територіальна громада,село,Малі Будища,вул. Молодіжна 5-А,так,Старостат,e050b9b6,Підзарядка гаджетів,ПН на карту
50,48.023128,35.42816,Запорізька,Запорізький,Вільнянська,міська територіальна громада,село,Новогупалівка,вул. Центральна 60А,так,Старостат,e53dbba5,Підзарядка гаджетів,ПН на карту
51,50.049317,31.563617,Київська,Бориспільський,Ташанська,сільська територіальна громада,село,Мала Каратуль,вул. Переяславська 6-А,так,Старостат,5580364b,Підзарядка гаджетів,ПН на карту
52,50.433488,30.060089,Київська,Бучанський,Дмитрівська,сільська територіальна громада,село,Любимівка,вул. Київська 78/1,так,Старостат,77f00196,Підзарядка гаджетів,ПН на карту
53,50.230894,28.646926,Житомирська,Житомирський,Станишівська,сільська територіальна громада,село,Зарічани,пров Шкільний 8 Б,так,Старостат,8088a56d,Підзарядка гаджетів,ПН на карту
54,48.30412,24.471664,Івано-Франківська,Надвірнянський,Поляницька,сільська територіальна громада,село,Яблуниця,вул. Героїв Майдану 64,так,Старостат,a3a72dae,Підзарядка гаджетів,ПН на карту
55,48.399502,31.660309,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,село,Єгорівка,вул.  Грушевського 3,так,Старостат,b896518b,Підзарядка гаджетів,ПН на карту
56,48.35476,31.760188,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,село,Захарівка,вул.  Клубна 24,так,Старостат,8b350d91,Підзарядка гаджетів,ПН на карту
57,48.484345,24.698054,Івано-Франківська,Надвірнянський,Делятинська,селищна територіальна громада,село,Білі Ослави,вул. М Підгірянки150,так,Старостат,7c832d37,Підзарядка гаджетів,ПН на карту
58,48.307675,31.061972,Кіровоградська,Новоукраїнський,Добровеличківська,селищна територіальна громада,село,Тернове,вул.  Миру 40,так,Старостат,a5f86ea8,Підзарядка гаджетів,ПН на карту
59,48.599424,31.577447,Кіровоградська,Новоукраїнський,Маловисківська,міська територіальна громада,село,Лозуватка,вул.  Миру 33 А,так,Старостат,8b4de84d,Підзарядка гаджетів,ПН на карту
60,48.523479,24.6441,Івано-Франківська,Надвірнянський,Делятинська,селищна територіальна громада,село,Заріччя,вул. Незалежності 71,так,Старостат,e9221778,Підзарядка гаджетів,ПН на карту
61,50.492999,29.034467,Житомирська,Житомирський,Радомишльська,міська територіальна громада,село,Пилиповичі,вул. Чайківська 2,так,Старостат,553dbdb6,Підзарядка гаджетів,ПН на карту
62,48.361714,31.369754,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,село,Фурманівка,вул.  Перемоги 4,так,Старостат,1e1e496c,Підзарядка гаджетів,ПН на карту
63,49.873837,31.709781,Київська,Бориспільський,Циблівська,сільська територіальна громада,село,Світанок,вул. Київська 2,так,Старостат,e48282e3,Підзарядка гаджетів,ПН на карту
64,48.913482,31.706806,Кіровоградська,Новоукраїнський,Новомиргородська,міська територіальна громада,селище міського типу,Капітанівка,вул.  Смілянська 50,так,Старостат,327d4a5f,Підзарядка гаджетів,ПН на карту
65,49.370458,31.684276,Черкаська,Черкаський,Білозірська,сільська територіальна громада,селище міського типу,Ірдинь,вул. Соборна 2,так,Інші заклади/громадські місця,9f2ed72d,Підзарядка гаджетів,ПН на карту
66,48.498304,24.735611,Івано-Франківська,Надвірнянський,Делятинська,селищна територіальна громада,село,Чорний Потік,вул. Хмельницького 388 д,так,Старостат,31ca7793,Підзарядка гаджетів,ПН на карту
67,48.342656,23.227618,Закарпатська,Хустський,Довжанська,сільська територіальна громада,село,Приборжавське,вул. Центральна 103,так,Старостат,cea2174c,Підзарядка гаджетів,ПН на карту
68,48.884075,31.730336,Кіровоградська,Новоукраїнський,Новомиргородська,міська територіальна громада,село,Тишківка,вул.  Центральна 114,так,Старостат,ff08e2fd,Підзарядка гаджетів,ПН на карту
69,48.767766,31.491842,Кіровоградська,Новоукраїнський,Новомиргородська,міська територіальна громада,село,Коробчине,вул.  Центральна 25,так,Старостат,9cc9ad83,Підзарядка гаджетів,ПН на карту
70,48.411791,31.578059,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,село,Мар'янопіль,вул.  Центральна 75,так,Старостат,4ed78af1,Підзарядка гаджетів,ПН на карту
71,49.102674,35.450623,Харківська,Красноградський,Зачепилівська,селищна територіальна громада,село,Бердянка,вул. Центральна 52,так,Старостат,40d5f00c,Підзарядка гаджетів,ПН на карту
72,48.441492,31.200879,Кіровоградська,Новоукраїнський,Добровеличківська,селищна територіальна громада,село,Дружелюбівка,вул.  Шкільна 32,так,Старостат,89d8dca8,Підзарядка гаджетів,ПН на карту
73,49.40319,36.139331,Харківська,Лозівський,Біляївська,сільська територіальна громада,село,Красне,вул. Копцова 1,так,Інші заклади/громадські місця,c13f17ad,Підзарядка гаджетів,ПН на карту
74,50.199367,27.63772,Житомирська,Новоград-Волинський,Баранівська,міська територіальна громада,селище міського типу,Першотравенськ,вул. Миру 6а,так,Старостат,02846cdb,Підзарядка гаджетів,ПН на карту
75,48.334651,23.35622,Закарпатська,Хустський,Довжанська,сільська територіальна громада,село,Липецька Поляна,вул. Миру 3,так,Старостат,14c12e66,Підзарядка гаджетів,ПН на карту
76,49.200818,36.340912,Харківська,Лозівський,Біляївська,сільська територіальна громада,село,Роздолля,вул. Центральна 126,так,Інші заклади/громадські місця,f874d479,Підзарядка гаджетів,ПН на карту
77,49.979784,28.862821,Житомирська,Бердичівський,Червоненська,селищна територіальна громада,село,Малі Мошківці,вул. Клубна 3,так,Старостат,3b6da0ab,Підзарядка гаджетів,ПН на карту
78,50.704279,29.350307,Житомирська,Коростенський,Малинська,сільська територіальна громада,село,с.Федорівка,вул. Центральна 18,так,Старостат,8cf1b463,Підзарядка гаджетів,ПН на карту
