,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
0,50.22387258,30.262417,Київська,Фастівський,Глевахівська,селищна територіальна громада,село,Путрівка,а/д Київ-Одеса 34 км,так,АЗК,4de1101b,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
1,49.92044536,30.19131731,Київська,Білоцерківський,Гребінківська,селищна територіальна громада,село,Дослідницьке,а/д Київ-Одеса 69 км+300 м,так,АЗК,63e68796,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2,49.92044842,30.19105518,Київська,Білоцерківський,Гребінківська,селищна територіальна громада,село,Соколівка,а/д Київ-Одеса 69 км+900 м,так,АЗК,66fc5ab7,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
3,49.80482682,30.11973133,Київська,Білоцерківський,Білоцерківська,міська територіальна громада,місто,Біла Церква,вул. Першотравнева 10/28,так,АЗК,72ee844a,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
4,51.19995332,23.87400789,Волинська,Ковельський,Вишнівська,сільська територіальна громада,село,Римачі,вул. Дорожна 1 1,так,АЗК,AZS0110,Підзарядка гаджетів,ПН (бізнес) на карту
5,51.199472,23.8760769,Волинська,Ковельський,Вишнівська,сільська територіальна громада,село,Римачі,вул. Дорожна 2,так,АЗК,AZS0118,Підзарядка гаджетів,ПН (бізнес) на карту
6,49.3918419,27.8513539,Вінницька,Вінницький,Літинська,селищна територіальна громада,село,Дяківці,вул. Центральна 53,так,АЗК,AZS0168,Підзарядка гаджетів,ПН (бізнес) на карту
7,50.75620772,25.47598507,Волинська,Луцький,Підгайцівська,сільська територіальна громада,село,Піддубці,вул. Київська 115,так,АЗК,AZS0196,Підзарядка гаджетів,ПН (бізнес) на карту
8,49.225667,28.429265,Вінницька,Вінницький,Вінницька,міська територіальна громада, ,Вінниця,вул. Келецька  52-А,так,АЗК,AZS0224,Підзарядка гаджетів,ПН (бізнес) на карту
9,50.7811092,25.7552728,Волинська,Луцький,Олицька,селищна територіальна громада,село,Дерно,вул. Жовтнева 16В,так,АЗК,AZS0242,Підзарядка гаджетів,ПН (бізнес) на карту
10,50.86509031,24.18306344,Волинська,Володимир-Волинський,Устилузька,міська територіальна громада, ,Устилуг,вул. Володимирська 1Е,так,АЗК,AZS0259,Підзарядка гаджетів,ПН (бізнес) на карту
11,50.9356315,24.34251,Волинська,Володимир-Волинський,Оваднівська,сільська територіальна громада,село,Верба,вул. Ковельська 22А,так,АЗК,AZS0263,Підзарядка гаджетів,ПН (бізнес) на карту
12,50.75285902,24.1830389,Волинська,Володимир-Волинський,Нововолинська,міська територіальна громада, ,Нововолинськ,вул. Луцька 28а,так,АЗК,AZS0271,Підзарядка гаджетів,ПН (бізнес) на карту
13,49.2857398,28.4658313,Вінницька,Вінницький,Стрижавська,селищна територіальна громада, ,Вінниця,вул. Львівське шосе 9,так,АЗК,AZS0281,Підзарядка гаджетів,ПН (бізнес) на карту
14,49.330715,28.724871,Вінницька,Вінницький,Турбівська,селищна територіальна громада, ,Турбів,вул. Миру 49 А,так,АЗК,AZS0358,Підзарядка гаджетів,ПН (бізнес) на карту
15,49.189781,29.508375,Вінницька,Вінницький,Оратівська,селищна територіальна громада, ,Оратів,вул. Героїв Майдану 2 А,так,АЗК,AZS0398,Підзарядка гаджетів,ПН (бізнес) на карту
16,49.211746,28.426079,Вінницька,Вінницький,Вінницька,міська територіальна громада, ,Вінниця,вул. Пирогова 141 А,так,АЗК,AZS0414,Підзарядка гаджетів,ПН (бізнес) на карту
17,48.503092,29.230456,Вінницька,Гайсинський,Тростянецька,селищна територіальна громада, ,Тростянець,вул. Соборна 121 А,так,АЗК,AZS0420,Підзарядка гаджетів,ПН (бізнес) на карту
18,49.238232,28.40028,Вінницька,Вінницький,Вінницька,міська територіальна громада, ,Вінниця,Хмельницьке шосе 107 В,так,АЗК,AZS0426,Підзарядка гаджетів,ПН (бізнес) на карту
19,48.376335,29.560862,Вінницька,Гайсинський,Бершадська,міська територіальна громада, ,Бершадь,вул. Покровська 227,так,АЗК,AZS0457,Підзарядка гаджетів,ПН (бізнес) на карту
20,48.80828,29.418962,Вінницька,Гайсинський,Гайсинська,міська територіальна громада, ,Гайсин,вул. 1-го Травня 130,так,АЗК,AZS0470,Підзарядка гаджетів,ПН (бізнес) на карту
21,49.2298530477,29.0699815363,Вінницька,Вінницький,Липовецька,міська територіальна громада, ,Липовець,вул. Героїв Майдану 57,так,АЗК,AZS0497,Підзарядка гаджетів,ПН (бізнес) на карту
22,48.477516,27.770111,Вінницька,Могилів-Подільський,Могилів-Подільська,міська територіальна громада,село,Немія,вул. Лісова 41,так,АЗК,AZS0511,Підзарядка гаджетів,ПН (бізнес) на карту
23,49.231018,28.503733,Вінницька,Вінницький,Вінницька,міська територіальна громада, ,Вінниця,вул. Привокзальна 17,так,АЗК,AZS0532,Підзарядка гаджетів,ПН (бізнес) на карту
24,49.232395,28.425997,Вінницька,Вінницький,Вінницька,міська територіальна громада, ,Вінниця,вул. 600-річчя 5,так,АЗК,AZS0553,Підзарядка гаджетів,ПН (бізнес) на карту
25,49.215348,28.580267,Вінницька,Вінницький,Вінницька,міська територіальна громада,село,Писарівка,а/ш Львів-Кіровоград-Знам'янка  377км+600м,так,АЗК,AZS0573,Підзарядка гаджетів,ПН (бізнес) на карту
26,49.10976,28.700977,Вінницька,Вінницький,Вороновицька,селищна територіальна громада, ,Вороновиця,а/ш Львів-Кіровоград-Знам’янка 136км+300м,так,АЗК,AZS0574,Підзарядка гаджетів,ПН (бізнес) на карту
27,49.338898,28.063803,Вінницька,Вінницький,Літинська,селищна територіальна громада,село,Сосни,а/ш Львів-Кіровоград-Знам’янка 328км (ліворуч),так,АЗК,AZS0575,Підзарядка гаджетів,ПН (бізнес) на карту
28,49.02752,28.044646,Вінницька,Жмеринський,Жмеринська,міська територіальна громада,село,Коростівці,вул. Шевченка 1а,так,АЗК,AZS0631,Підзарядка гаджетів,ПН (бізнес) на карту
29,49.23975,28.399767,Вінницька,Вінницький,Якушинецька,сільська територіальна громада,село,Зарванці,вул. Молодіжна 29,так,АЗК,AZS0632,Підзарядка гаджетів,ПН (бізнес) на карту
30,49.735758,28.67997,Вінницька,Хмільницький,Махнівська,сільська територіальна громада,село,Комсомольське,вул. Київська 135,так,АЗК,AZS0633,Підзарядка гаджетів,ПН (бізнес) на карту
31,49.2231,28.552617,Вінницька,Вінницький,Вінницька,міська територіальна громада,село,Вінницькі Хутори,вул. Немирівське шосе 92-А,так,АЗК,AZS0634,Підзарядка гаджетів,ПН (бізнес) на карту
32,49.252197,28.474706,Вінницька,Вінницький,Вінницька,міська територіальна громада,місто,Вінниця,вул. Київська 76,так,АЗК,AZS0636,Підзарядка гаджетів,ПН (бізнес) на карту
33,49.231225,28.405601,Вінницька,Вінницький,Вінницька,міська територіальна громада,місто,Вінниця,вул. Порика Василя 28,так,АЗК,AZS0638,Підзарядка гаджетів,ПН (бізнес) на карту
34,48.977428,28.84499,Вінницька,Вінницький,Немирівська,міська територіальна громада,місто,Немирів,вул. Гайсинське шосе  4,так,АЗК,AZS0639,Підзарядка гаджетів,ПН (бізнес) на карту
35,48.452901,27.791934,Вінницька,Могилів-Подільський,Могилів-Подільська,міська територіальна громада,місто,Могилів-Подільський,вул. Пушкінська 74а,так,АЗК,AZS0640,Підзарядка гаджетів,ПН (бізнес) на карту
36,50.744209,25.385671,Волинська,Луцький,Луцька,міська територіальна громада, ,Луцьк,вул. Рівненська 98,так,АЗК,AZS0189,Підзарядка гаджетів,ПН (бізнес) на карту
37,51.204898,23.918262,Волинська,Ковельський,Любомльська,міська територіальна громада, ,Любомль,а/ш Київ-Ковель-Ягодин 497 км 300 м,так,АЗК,AZS0321,Підзарядка гаджетів,ПН (бізнес) на карту
38,50.744671,25.393234,Волинська,Луцький,Підгайцівська,сільська територіальна громада,село,Струмівка,вул. Рівненська  2 А,так,АЗК,AZS0447,Підзарядка гаджетів,ПН (бізнес) на карту
39,51.203011,24.054586,Волинська,Ковельський,Вишнівська,сільська територіальна громада,село,Вишнів,вул. Київська 30,так,АЗК,AZS0520,Підзарядка гаджетів,ПН (бізнес) на карту
40,51.201988,24.054459,Волинська,Ковельський,Вишнівська,сільська територіальна громада,село,Вишнів,вул. Київська 20,так,АЗК,AZS0529,Підзарядка гаджетів,ПН (бізнес) на карту
41,50.7555173172,25.3538917982,Волинська,Луцький,Луцька,міська територіальна громада, ,Луцьк,вул. Карпенка-Карого 5,так,АЗК,AZS0559,Підзарядка гаджетів,ПН (бізнес) на карту
42,50.714043,24.162712,Волинська,Володимир-Волинський,Нововолинська,міська територіальна громада, ,Нововолинськ,вул. Чехова 2,так,АЗК,AZS0568,Підзарядка гаджетів,ПН (бізнес) на карту
43,51.2024,24.04558,Волинська,Ковельський,Вишнівська,сільська територіальна громада,село,Вишнiв,вул. Київська 4,так,АЗК,AZS0609,Підзарядка гаджетів,ПН (бізнес) на карту
44,51.66155,24.53333,Волинська,Ковельський,Ратнівська,селищна територіальна громада, ,Ратне,вул. Центральна 1а,так,АЗК,AZS0613,Підзарядка гаджетів,ПН (бізнес) на карту
45,51.19609,23.84888,Волинська,Ковельський,Рівненська,сільська територіальна громада,село,Старовойтове,вул. Прикордонників 34,так,АЗК,AZS0614,Підзарядка гаджетів,ПН (бізнес) на карту
46,51.19676,23.84883,Волинська,Ковельський,Рівненська,сільська територіальна громада,село,Старовойтове,вул. Прикордонників 35,так,АЗК,AZS0615,Підзарядка гаджетів,ПН (бізнес) на карту
47,50.7386,25.4263,Волинська,Луцький,Підгайцівська,сільська територіальна громада,село,Струмiвка,вул. Рівненська 120а,так,АЗК,AZS0616,Підзарядка гаджетів,ПН (бізнес) на карту
48,50.770008,25.856558,Волинська,Луцький,Олицька,селищна територіальна громада,село,Кадище,вул. Миру 1,так,АЗК,AZS0618,Підзарядка гаджетів,ПН (бізнес) на карту
49,50.825736,24.362563,Волинська,Володимир-Волинський,Володимир-Волинська,міська територіальна громада,місто,Володимир-Волинський,вул. Луцька 192,так,АЗК,AZS0619,Підзарядка гаджетів,ПН (бізнес) на карту
50,50.856653,24.28746,Волинська,Володимир-Волинський,Володимир-Волинська,міська територіальна громада,місто,Володимир-Волинський,вул. Устилузька 140,так,АЗК,AZS0620,Підзарядка гаджетів,ПН (бізнес) на карту
51,50.501921,24.762998,Волинська,Луцький,Горохівська,міська територіальна громада,місто,Горохiв,вул. Луцька 47,так,АЗК,AZS0621,Підзарядка гаджетів,ПН (бізнес) на карту
52,51.20106,24.672256,Волинська,Ковельський,Ковельська,міська територіальна громада,місто,Ковель,вул. Варшавська  3б,так,АЗК,AZS0623,Підзарядка гаджетів,ПН (бізнес) на карту
53,50.765906,25.37655,Волинська,Луцький,Підгайцівська,сільська територіальна громада,село,Липини,вул. Відродження 40,так,АЗК,AZS0625,Підзарядка гаджетів,ПН (бізнес) на карту
54,50.744898,25.270866,Волинська,Луцький,Луцька,міська територіальна громада,село,Великий Омеляник,вул. Володимирська 1а,так,АЗК,AZS0626,Підзарядка гаджетів,ПН (бізнес) на карту
55,50.74264,25.36032,Волинська,Луцький,Луцька,міська територіальна громада,місто,Луцьк,вул. Рівненська 22,так,АЗК,AZS0627,Підзарядка гаджетів,ПН (бізнес) на карту
