,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
0,48.2142523,28.87222749,Вінницька,Тульчинський,Піщанська,селищна територіальна громада,селище міського типу,Піщанка,вул. Ломоносова 4а,ні,АЗК,33acc039,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл ОДА
1,50.5223926,30.6181023,Київ, , , ,місто,Київ,проспект Червоної Калини 85б,ні,Магазин,SHOP0139,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
2,50.3979293,30.6133327,Київ, , , ,місто,Київ,вул. Дніпровська набережна 18-А,ні,Магазин,SHOP0124,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
3,50.3767649,30.3819043,Київська,Бучанський,Вишнева,міська територіальна громада, ,Крюківщина,вул. Жулянська 1Д,ні,Магазин,SHOP0123,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
4,50.5256694,30.461844,Київ, , , ,місто,Київ,вул. Ю.Кондратюка 7,ні,Магазин,SHOP0122,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
5,50.5074924,30.5807337,Київ, , , ,місто,Київ,вул. О.Довженка 16,ні,Магазин,SHOP0121,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
6,50.36778549,30.60831383,Київ, , , ,місто,Київ,вул. Орхідея Садово-дачний коопер буд.2,ні,Магазин,SHOP0120,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
7,50.47949482,30.53584235,Київ, , , ,місто,Київ,вул. дор.Набережно-Рибальська 3,ні,Магазин,SHOP0119,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
8,50.47162493,30.3987564,Київ, , , ,місто,Київ,вул. Салютна 2,ні,Магазин,SHOP0118,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
9,50.403965,30.665905,Київ, , , ,місто,Київ,вул. пр-т М.Бажана 9з,ні,Магазин,SHOP0117,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
10,50.4050686,30.6698267,Київ, , , ,місто,Київ,вул. Кам’янська 128,ні,Магазин,SHOP0116,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
11,50.40712006,30.62444674,Київ, , , ,місто,Київ,вул. А.Ахматової 35,ні,Магазин,SHOP0115,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
12,50.4029646,30.6289979,Київ, , , ,місто,Київ,вул. Княжий Затон 2/30,ні,Магазин,SHOP0114,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
13,50.58633152,30.47976964,Київська,Вишгородський,Вишгородська,міська територіальна громада, ,Вишгород,вул. Кургузова 11-Г,ні,Магазин,SHOP0113,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
14,50.5250768,30.6001024,Київ, , , ,місто,Київ,вул. Лісківська 12/1,ні,Магазин,SHOP0112,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
15,50.5217857,30.614204,Київ, , , ,місто,Київ,вул. К.Данькевича 12,ні,Магазин,SHOP0111,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
16,50.3068039,30.5130244,Київська,Обухівський,Феодосіївська,сільська територіальна громада, ,Лісники,вул. Ватутіна 69,ні,Магазин,SHOP0110,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
17,50.40751732,30.33970121,Київська,Бучанський,Борщагівська,сільська територіальна громада, ,Софіївська Борщагівка,вул. Шалімова 65а,ні,Магазин,SHOP0109,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
18,50.5056814,30.4873332,Київ, , , ,місто,Київ,вул. М.Тимошенка 2/4,ні,Магазин,SHOP0108,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
19,50.4191955,30.5391513,Київ, , , ,місто,Київ,вул. Д.Маккейна 23/35,ні,Магазин,SHOP0107,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
20,50.5065367,30.5862565,Київ, , , ,місто,Київ,вул. O.Бальзака 12,ні,Магазин,SHOP0106,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
21,50.3798286,30.705784,Київ, , , ,місто,Київ,вул. І.Дяченка 20,ні,Магазин,SHOP0105,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
22,50.3924885,30.471494,Київ, , , ,місто,Київ,вул. М.Максимовича 28Б,ні,Магазин,SHOP0104,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
23,50.4811809,30.4261102,Київ, , , ,місто,Київ,вул. Тираспільська 58,ні,Магазин,SHOP0103,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
24,50.4655864,30.4297584,Київ, , , ,місто,Київ,вул. Сікорського 4Б,ні,Магазин,SHOP0102,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
25,50.5204638,30.8068587,Київська,Броварський,Броварська,міська територіальна громада, ,Бровари,бульвар Незалежності 16,ні,Магазин,SHOP0101,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
26,50.4498187,30.4205698,Київ, , , ,місто,Київ,вул. Машинобудівна 41,ні,Магазин,SHOP0100,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
27,50.4454283,30.5190395,Київ, , , ,місто,Київ,бульвар Б.Хмельницького 6,ні,Магазин,SHOP0099,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
28,50.5035932,30.4409883,Київ, , , ,місто,Київ,проспект Правди 19-А,ні,Магазин,SHOP0098,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
29,50.47010355,30.61119674,Київ, , , ,місто,Київ,вул. Жмаченко 28,ні,Магазин,SHOP0097,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
30,50.39024119,30.47780405,Київ, , , ,місто,Київ,вул. Ломоносова 34а,ні,Магазин,SHOP0096,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
31,50.4595867,30.5858575,Київ, , , ,місто,Київ,вул. Панельна 4,ні,Магазин,SHOP0095,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
32,50.44236266,30.31119423,Київська,Бучанський,Борщагівська,сільська територіальна громада, ,с. Чайки,вул. Печерська 2,ні,Магазин,SHOP0094,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
33,50.38805809,30.62673703,Київ, , , ,місто,Київ,вул. Софії Русової 5,ні,Магазин,SHOP0093,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
34,50.4458742,30.3820826,Київ, , , ,місто,Київ,вул. А.Петрицького 19-А,ні,Магазин,SHOP0091,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
35,50.4979135,30.4268102,Київ, , , ,місто,Київ,вул. Сергія Данченка 3 корп. 3,ні,Магазин,SHOP0090,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
36,50.4115964,30.6151821,Київ, , , ,місто,Київ,вул. Урлівська 40,ні,Магазин,SHOP0089,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
37,50.38943239,30.36576584,Київська,Бучанський,Вишнева,міська територіальна громада, ,Вишневе,вул. Л.Українки 74-В,ні,Магазин,SHOP0088,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
38,50.532059,30.6272744,Київ, , , ,місто,Київ,вул. Закревського 97-А,ні,Магазин,SHOP0087,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
39,50.4024066,30.6120406,Київ, , , ,місто,Київ,вул. Трускавецька 4-Б,ні,Магазин,SHOP0086,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
40,50.4180003,30.6334984,Київ, , , ,місто,Київ,вул. Драгоманова 2-А,ні,Магазин,SHOP0085,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
41,50.5048161,30.7832854,Київська,Броварський,Броварська,міська територіальна громада, ,Бровари,вул. Грушевського 15,ні,Магазин,SHOP0084,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
42,47.9485065,33.4561372,Дніпропетровська,Криворізький,Криворізька,міська територіальна громада, ,Кривий Ріг,вул. Незалежної України 16в,ні,Магазин,SHOP0083,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
43,47.9053055,33.37556818,Дніпропетровська,Криворізький,Криворізька,міська територіальна громада, ,Кривий Ріг,вул. Героїв-підпільників 1 а,ні,Магазин,SHOP0082,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
44,50.5116192,30.7886398,Київська,Броварський,Броварська,міська територіальна громада, ,Бровари,вул. Гагаріна 16,ні,Магазин,SHOP0080,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл магазин
45,50.471407,30.51751,Київ, , , ,місто,Київ,Ярославська 56а,ні,Кафе/ресторан,KAFE_0,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
46,49.833819,23.979701,Львівська,Львівський,Львівська, ,місто,Львів,вул. Кузневича 16а,ні,Кафе/ресторан,KAFE_1,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
47,50.44173,30.520619,Київ, , , ,місто,Київ,Велика Васильківська 1-3,ні,Кафе/ресторан,KAFE_2,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
48,49.553668,25.596596,Тернопільська,Тернопільський,Тернопільська, ,місто,Тернопіль,"вул. Чорновола, 5",ні,Кафе/ресторан,KAFE_3,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
49,48.2907647651,25.9362887885,Чернівецька,Чернівецький,Чернівецька, ,місто,Чернівці,вул. О. Кобилянської 7,ні,Кафе/ресторан,KAFE_4,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
50,50.452141,30.526259,Київ, , , ,місто,Київ,"Хрещатик,6",ні,Кафе/ресторан,KAFE_5,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
51,48.466134,35.044806,Дніпропетровська,Дніпровський,Дніпровська, ,місто,Дніпро,"вул.Володимира Мономаха,3",ні,Кафе/ресторан,KAFE_6,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
52,50.456774,30.365836,Київ, , , ,місто,Київ,"пр-кт Перемоги, 136",ні,Кафе/ресторан,KAFE_7,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
53,50.447019,30.522798,Київ, , , ,місто,Київ,"вул.Хрещатик, 19",ні,Кафе/ресторан,KAFE_8,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
54,50.446255,30.510547,Київ, , , ,місто,Київ,вулиця Богдана Хмельницького 27/1,ні,Кафе/ресторан,KAFE_9,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
55,50.004394,36.246641,Харківська,Харківський,Харківська, ,місто,Харків,"Ярослава Мудрого, 37",ні,Кафе/ресторан,KAFE_10,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
56,48.466364,35.045624,Дніпропетровська,Дніпровський,Дніпровська, ,місто,Дніпро,"вул. Володимира Мономаха, 2к",ні,Кафе/ресторан,KAFE_11,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
57,48.470406,35.033679,Дніпропетровська,Дніпровський,Дніпровська, ,місто,Дніпро,"проспект Дмитра Яворницького, 97к",ні,Кафе/ресторан,KAFE_12,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
58,49.840940982,24.0333467245,Львівська,Львівський,Львівська, ,місто,Львів,вул. Староєврейська 25/27,ні,Кафе/ресторан,KAFE_13,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
59,50.43701,30.532731,Київ, , , ,місто,Київ,Мечнікова 14/1,ні,Кафе/ресторан,KAFE_14,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
60,50.452199,30.526301,Київ, , , ,місто,Київ,"вул. Хрещатик, 6",ні,Кафе/ресторан,KAFE_15,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
61,48.462066,35.045512,Дніпропетровська,Дніпровський,Дніпровська, ,місто,Дніпро,вул. Грушевського 4а,ні,Кафе/ресторан,KAFE_16,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
62,50.51152,30.5052,Київ, , , ,місто,Київ,вул. Маршала Тимошенко 18,ні,Кафе/ресторан,KAFE_17,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
63,50.40853,30.624964,Київ, , , ,місто,Київ,"вул. Анни Ахматової, 22",ні,Кафе/ресторан,KAFE_18,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
64,46.468339,30.753048,Одеська,Одеський,Одеська, ,місто,Одеса,вул. Леонтовича 15,ні,Кафе/ресторан,KAFE_19,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
65,46.444245,30.766535,Одеська,Одеський,Одеська, ,місто,Одеса,вул. Французський бульвар 85,ні,Кафе/ресторан,KAFE_20,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
66,46.437065,30.745188,Одеська,Одеський,Одеська, ,місто,Одеса,вул. Адміральский проспект 1,ні,Кафе/ресторан,KAFE_21,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
67,50.017347,36.226348,Харківська,Харківський,Харківська, ,місто,Харків,Проспект Науки 20,ні,Кафе/ресторан,KAFE_22,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
68,50.414636,30.649276,Київ, , , ,місто,Київ,Тростянецька 4/2,ні,Кафе/ресторан,KAFE_24,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
69,50.523309,30.603234,Київ, , , ,місто,Київ,вул.Лісківська 9а/22,ні,Кафе/ресторан,KAFE_25,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
70,50.427112,30.537859,Київ, , , ,місто,Київ,"бульвар Лесі Українки, 26",ні,Кафе/ресторан,KAFE_26,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
71,50.462907,30.517146,Київ, , , ,місто,Київ,"Контрактова пл., 8",ні,Кафе/ресторан,KAFE_27,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
72,50.511606,30.502562,Київ, , , ,місто,Київ,вул. Тимошенко 18,ні,Кафе/ресторан,KAFE_28,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
73,49.1455,34.2043,Полтавська,Полтавський,Кобеляцька,міська територіальна громада, ,Кобеляки,вул. Дніпропетровська 11,ні,АЗК,AZS0871,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",ПН (бізнес) на карту
74,49.996857,36.252629,Харківська,Харківський,Харківська,міська територіальна громада, ,Харків,вул. Шевченка 41,ні,АЗК,AZS0908,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",ПН (бізнес) на карту
75,49.97543,36.34479,Харківська,Харківський,Харківська,міська територіальна громада, ,Харків,проспект Тракторобудівників 1-А,ні,АЗК,AZS0909,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",ПН (бізнес) на карту
76,49.397063,32.008436,Черкаська,Черкаський,Руськополянська,сільська територіальна громада, ,Черкаси,вул. Смілянське шоссе 11 км,ні,АЗК,AZS0932,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",ПН (бізнес) на карту
77,49.84269,24.02619,Львівська, , , , , ,"м.Львів, пр.Свободи, 33",ні,Аптека,FR00001,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
78,49.370829,29.681822,Київська, , , , , ,"м. Тетіїв, вул. Януша Острозького, 4, прим. 2",ні,Аптека,FR00002,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
79,49.412241,26.963105,Хмельницька, , , , , ,"м. Хмельницький, вул. Хотовицького, 6 міський перинатальний центр",ні,Аптека,FR00003,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
80,49.075808,23.848213,Івано-Франківська, , , , , ,"м.Болехів, вул.Січових Стрільців, 8",ні,Аптека,FR00004,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
81,49.287267,23.415958,Львівська, , , , , ,"м.Борислав, вул.Адама Міцкевича, 6",ні,Аптека,FR00005,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
82,49.062848,25.396718,Тернопільська, , , , , ,"м.Бучач, вул.Галицька, 46/2",ні,Аптека,FR00006,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
